time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324241,0,324429.1,117.99477389557129,324665.0895477911
1000,324241,0,324400.6,126.12797733519312,324652.85595467035
1100,324241,0,324372.1,126.8415021460523,324625.78300429205
1200,324169,0,324336.4,128.9351258062247,324594.27025161247
1300,324169,0,324302.1,122.49303835092513,324547.0860767018
1400,324169,0,324267.8,103.78053767444439,324475.36107534886
1500,323575,0,324174.1,218.44778170842136,324610.9955634168
1600,323575,0,324100.4,281.8712077842903,324664.1424155686
1700,323575,0,324026.7,314.82201320744576,324656.3440264149
1800,323465,0,323942.0,342.2776650615409,324626.55533012305
1900,323465,0,323864.4,354.69805625501175,324573.79611251
2000,323465,0,323786.8,347.97375379947505,324482.74750759895
2100,323455,0,323708.2,321.7634742062835,324351.7269484126
2200,323455,0,323636.8,285.30287999474814,324207.40575998946
2300,323455,0,323565.4,218.9404789738473,324003.2809579477
2400,323483,0,323496.8,54.580826914072134,323605.96165382816
2500,323483,0,323487.6,47.18803991551615,323581.976079831
2600,323483,0,323478.4,35.864560036669914,323550.12912007334
2700,323400,0,323460.9,24.333105020843995,323509.5662100417
2800,323400,0,323454.4,30.909185976543096,323516.2183719531
2900,323400,0,323447.9,34.996666507265296,323517.89333301457
3000,323466,0,323448.0,35.05234181364713,323518.1046836273
3100,323466,0,323449.1,35.466572680934085,323520.0331453619
3200,323466,0,323450.2,35.83852675479881,323521.8770535096
3300,323400,0,323444.7,39.09262504983037,323522.88525009964
3400,323400,0,323436.4,38.867867333604565,323514.13573466724
3500,323400,0,323428.1,36.607376305190954,323501.31475261034
3600,323459,0,323425.7,33.24003610030169,323492.1800722006
3700,323459,0,323431.6,33.40725137444002,323498.41450274887
3800,323459,0,323437.5,32.40113166673557,323502.30226333346
3900,323166,0,323414.1,92.06211671085298,323598.2242334217
4000,323166,0,323384.1,118.3867954346113,323620.8735908692
4100,323166,0,323354.1,132.4969182029163,323619.09383640584
4200,323060,0,323313.5,154.73579633231356,323622.9715926646
4300,323060,0,323279.5,170.19874003950838,323619.89748007903
4400,323060,0,323245.5,177.2658079455488,323600.0316158911
4500,322952,0,323200.7,190.03219025536234,323580.7643805107
4600,322952,0,323150.0,180.87380499465635,323511.7476099893
4700,322952,0,323099.3,153.64320138958223,323406.58640277915
4800,322988,0,323052.2,90.23155397769662,323232.6631079554
4900,322988,0,323034.4,82.51491447614738,323199.4298289523
5000,322988,0,323016.6,69.0767688871806,323154.7535377743
5100,322985,0,322998.5,45.149750828691865,323088.79950165737
5200,322985,0,322991.0,39.69886648121029,323070.39773296245
5300,322985,0,322983.5,31.440419842822738,323046.3808396856
5400,323026,159,322980.1,22.93686988001985,323025.97373976
5500,323026,0,322987.5,24.73077255170313,323036.9615451034
5600,323026,0,322994.9,23.98819153721879,323042.87638307444
5700,323195,187,323019.2,64.52699693327045,323148.25399386656
5800,323195,0,323039.9,83.74624369621777,323207.39248739247
5900,323195,0,323060.6,94.3977400853765,323249.39548017073
6000,323410,69,323102.8,141.10657910443177,323385.01315820887
6100,323410,0,323145.3,163.85362709136257,323473.0072541827
6200,323410,0,323187.8,172.54294151470373,323532.8858830294
6300,323656,0,323254.9,211.0815798055486,323677.06315961113
6400,323656,0,323317.9,228.47195305596307,323774.84390611196
6500,323656,0,323380.9,225.8836721261769,323832.6673442524
6600,323696,0,323447.9,207.53979538040292,323862.97959076083
6700,323696,0,323498.0,200.04166232697506,323898.08332465397
6800,323696,0,323548.1,177.15181812936473,323902.4036362587
6900,323568,0,323585.4,126.60015797728236,323838.6003159546
7000,323568,0,323601.2,111.20031974318059,323823.6006394864
7100,323568,0,323617.0,90.26996547325577,323797.5399309465
7200,323503,0,323626.3,68.81545368987804,323763.9309073797
7300,323503,0,323611.0,77.88880963617677,323766.77761927235
7400,323503,0,323595.7,82.93109589616552,323761.56219179236
7500,323376,0,323567.7,104.71660167583794,323777.1332033517
7600,323376,0,323535.7,109.91820190931635,323755.53640381864
7700,323376,0,323503.7,104.51267865605021,323712.7253573121
7800,323087,0,323442.8,148.27811706336345,323739.3562341267
7900,323087,0,323394.7,178.1572651085486,323751.0145302171
8000,323087,0,323346.6,190.6627039211084,323727.9254078422
8100,322619,0,323251.7,282.3500782123289,323816.4001564247
8200,322619,0,323163.3,329.3944106654061,323822.0888213308
8300,322619,0,323074.9,346.28615334693086,323767.4723066939
8400,323051,0,323029.7,312.000373931087,323653.70074786217
8500,323051,0,322997.2,287.9169633376537,323573.0339266753
8600,323051,0,322964.7,257.10095293442873,323478.90190586884
8700,323120,0,322939.1,221.93715326593255,323382.97430653183
8800,323120,0,322942.4,224.60988402068756,323391.6197680414
8900,323120,0,322945.7,227.1979313281426,323400.0958626563
9000,323518,0,322988.8,289.3586010468607,323567.51720209373
9100,323518,0,323078.7,301.11572157162766,323680.9314431433
9200,323518,0,323168.6,282.22851261553313,323733.0570252311
9300,323782,0,323284.9,269.94215429705224,323824.7843085941
9400,323782,0,323358.0,297.16848943148926,323952.336978863
9500,323782,0,323431.1,303.10850642396,324037.3170128479
9600,323514,0,323477.4,272.4033773650972,324022.2067547302
9700,323514,0,323516.8,241.733002389761,324000.2660047795
9800,323514,0,323556.2,198.03131065550212,323952.262621311
9900,323564,0,323600.6,126.06188956201306,323852.723779124
10000,323564,0,323605.2,123.52669527025554,323852.25339054054
10100,323564,0,323609.8,120.74380591406644,323851.2876118281
10200,323595,0,323617.5,116.62403983148646,323850.74807966297
10300,323595,0,323598.8,101.30240756133774,323801.40481512266
10400,323595,0,323580.1,78.39706627125658,323736.8941325425
10500,323662,9,323568.1,46.92653833318701,323661.95307666634
10600,323662,0,323582.9,51.119576593040904,323685.1391531861
10700,323662,0,323597.7,50.374265916357785,323698.4485318327
10800,323576,0,323603.9,42.05670774816417,323688.01341549633
10900,323576,0,323605.1,40.94834143912137,323686.99668287823
11000,323576,0,323606.3,39.76891583404352,323685.8378316681
11100,323537,0,323603.6,43.683711685414266,323690.9674233708
11200,323537,0,323597.8,48.5336080572735,323694.86721611454
11300,323537,0,323592.0,52.23025942826755,323696.46051885653
11400,323384,0,323570.9,83.90133093862754,323738.70266187727
11500,323384,0,323543.1,95.60270800407166,323734.3054160081
11600,323384,0,323515.3,97.58534726037644,323710.47069452074
11700,323039,0,323453.0,167.4096771393917,323787.8193542788
11800,323039,0,323399.3,205.3896297282553,323810.0792594565
11900,323039,0,323345.6,223.46274857322126,323792.5254971464
12000,322980,0,323286.0,234.3970989579145,323754.7941979158
12100,322980,0,323230.3,234.3046687064907,323698.909337413
12200,322980,0,323174.6,218.99984779264665,323612.59969558526
12300,322859,0,323106.8,198.3122117601142,323503.4244235202
12400,322859,0,323054.3,185.87693061049157,323426.05386122095
12500,322859,0,323001.8,153.77819524616172,323309.3563904923
12600,322768,0,322940.2,96.30368632518983,323132.80737265036
12700,322768,0,322913.1,103.28864625050613,323119.677292501
12800,322768,0,322886.0,102.13063529854504,323090.2612705971
12900,322796,0,322861.7,89.8530281430983,323041.4060562862
13000,322796,0,322843.3,81.37574030955946,323006.0514806191
13100,322796,0,322824.9,66.46878966716446,322957.83757933433
13200,322657,0,322792.6,60.9775915109893,322914.55518302193
13300,322657,0,322772.4,69.41213470466711,322911.2242694094
13400,322657,0,322752.2,70.7888880155564,322893.7777760311
13500,322640,0,322730.3,67.89378960167652,322866.08757920336
13600,322640,0,322717.5,71.94172023880519,322861.3834404776
13700,322640,0,322704.7,73.33189392394516,322851.3637878479
13800,322661,0,322694.0,70.83313725325388,322835.6662745065
13900,322661,0,322680.5,61.48034916245114,322803.4606983249
14000,322661,0,322667.0,46.23130252475599,322759.4626050495
14100,322518,0,322639.2,43.54767502174255,322726.2953500435
14200,322518,0,322625.3,57.25973958704003,322739.8194791741
14300,322518,0,322611.4,65.05074941762766,322741.5014988353
14400,322314,0,322577.1,111.89623169014475,322800.89246338024
14500,322314,0,322544.5,136.35105834166544,322817.20211668336
14600,322314,0,322511.9,149.3344121977397,322810.5688243955
14700,322223,0,322470.2,166.79048733797777,322803.78097467596
14800,322223,0,322426.4,168.61870200673349,322763.6374040135
14900,322223,0,322382.6,157.42384402126336,322697.4476880425
15000,322089,0,322325.4,148.70418061741813,322622.80836123484
15100,322089,0,322282.5,148.8483568370618,322580.1967136741
15200,322089,0,322239.6,134.56943684614586,322508.7388736923
15300,322029,0,322190.7,108.48148843502617,322407.6629768701
15400,322029,0,322162.2,109.9169383356033,322382.0338766712
15500,322029,0,322133.7,102.90885935169489,322339.5177187034
15600,321936,0,322095.9,98.6581640466672,322293.2163280934
15700,321936,0,322067.2,99.31856713373186,322265.8371342675
15800,321936,0,322038.5,90.35762280911271,322219.21524561825
15900,321920,0,322008.2,70.15981755754225,322148.5196351151
16000,321920,0,321991.3,68.87678208812623,322129.05356417625
16100,321920,0,321974.4,62.697155701293205,322099.7943114026
16200,321948,0,321960.3,48.25177025796904,322056.80354051595
16300,321948,0,321952.2,41.80590069625712,322035.8118013925
16400,321948,0,321944.1,31.959870666566147,322008.0197413331
16500,321977,53,321938.9,17.62857527867446,321974.1571505574
16600,321977,0,321943.0,21.270741504106496,321985.5414830082
16700,321977,0,321947.1,23.595903592733833,321994.29180718545
16800,322023,119,321955.8,33.15217438359497,322022.1043487672
16900,322023,0,321966.1,36.613446220497536,322039.32689244096
17000,322023,0,321976.4,36.69150673339384,322049.7830134668
17100,322083,85,321992.7,44.27452239198535,322081.249044784
17200,322083,0,322006.2,49.41389817697041,322105.02779635397
