time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324147,44,324419.7,136.87792614832748,324145.94414770335
1000,324147,0,324381.8,155.39254951394796,324071.0149009721
1100,324147,0,324343.9,162.37641454349313,324019.14717091306
1200,324001,75,324291.4,180.78606140959786,323929.8278771808
1300,324001,0,324240.3,183.6990594544078,323872.9018810912
1400,324001,0,324189.2,170.30678201407483,323848.58643597184
1500,323599,0,324097.9,216.4919552007794,323664.91608959844
1600,323599,0,324026.6,252.5523928041481,323521.4952143917
1700,323599,0,323955.3,263.43797498968075,323428.42405002064
1800,323304,69,323854.5,301.83632429956816,323250.82735140086
1900,323304,0,323770.2,327.68134928110084,323114.8373014378
2000,323304,0,323685.9,328.4094497219899,323029.08110055607
2100,323231,101,323594.3,312.88799913076326,322968.52400173846
2200,323231,0,323517.3,295.96961180360995,322925.36077639274
2300,323231,0,323440.3,253.22236604761252,322933.85526790476
2400,323317,88,323371.9,160.25219707312976,323051.39560585376
2500,323317,0,323343.7,139.28950666425328,323065.1209866715
2600,323317,0,323315.5,106.56062437306237,323102.3787512539
2700,323326,68,323288.2,40.11317323248957,323207.973653535
2800,323326,0,323290.4,41.649863279772084,323207.1002734405
2900,323326,0,323292.6,43.006976179593714,323206.58604764077
3000,323315,72,323293.7,43.469146147337426,323206.76170770533
3100,323315,0,323302.1,37.74608147578821,323226.6078370484
3200,323315,0,323310.5,28.340195249417445,323253.81960950117
3300,323320,49,323319.4,4.78887601008084,323309.8222479799
3400,323320,0,323319.7,4.715223583228547,323310.2695528336
3500,323320,0,323320.0,4.618802165036031,323310.76239566994
3600,323320,67,323320.3,4.498147778772885,323311.30370444246
3700,323320,0,323319.7,4.029061111450608,323311.6418777771
3800,323320,0,323319.1,3.3813212565489654,323312.3373574869
3900,323282,0,323314.7,11.72888173589832,323291.2422365282
4000,323282,0,323311.4,15.62903281638738,323280.14193436725
4100,323282,0,323308.1,18.076688490338547,323271.9466230193
4200,323098,0,323286.4,68.57793619999177,323149.24412760005
4300,323098,0,323264.2,89.2957632447197,323085.6084735106
4400,323098,0,323242.0,100.74389973325394,323040.51220053347
4500,322931,23,323203.1,136.15713961010385,322930.7857207798
4600,322931,0,323164.2,153.5106221447161,322857.1787557106
4700,322931,0,323125.3,158.83817761111908,322807.62364477775
4800,322825,85,323075.8,168.27081347288524,322739.2583730542
4900,322825,0,323030.1,168.104762309923,322693.8904753801
5000,322825,0,322984.4,153.50005428935847,322677.3998914213
5100,322835,77,322939.7,118.24367495488288,322703.2126500902
5200,322835,0,322913.4,107.91992916639836,322697.5601416672
5300,322835,0,322887.1,88.17463732182853,322710.75072535634
5400,322824,288,322859.7,49.40546528646567,322760.8890694271
5500,322824,0,322849.0,43.479241536813966,322762.0415169264
5600,322824,0,322838.3,32.94793873429461,322772.4041225314
5700,323260,187,322871.2,136.70064618296007,322597.7987076341
5800,323260,0,322914.7,182.05374664323398,322550.5925067135
5900,323260,0,322958.2,208.31482584501475,322541.57034831
6000,323449,69,323020.6,252.70984679437962,322515.18030641123
6100,323449,0,323082.0,276.1118935829161,322529.7762128342
6200,323449,0,323143.4,283.2588921819745,322576.8822156361
6300,323489,73,323208.8,279.61831127475523,322649.56337745045
6400,323489,0,323275.3,256.01564622351356,322763.268707553
6500,323489,0,323341.8,207.54373033199144,322926.712539336
6600,323501,78,323409.5,104.91504499723119,323199.6699100055
6700,323501,0,323433.6,93.85473409056414,323245.89053181885
6800,323501,0,323457.7,72.93535950937016,323311.82928098127
6900,323486,55,323480.3,22.321140952537803,323435.65771809494
7000,323486,0,323484.0,19.436506318449357,323445.1269873631
7100,323486,0,323487.7,15.063200194147363,323457.5735996117
7200,323472,18,323490.0,9.055385143023193,323471.88922971394
7300,323472,0,323488.3,10.708771071716813,323466.88245785655
7400,323472,0,323486.6,11.871534585813677,323462.85693082836
7500,323454,7,323483.1,15.645020509921546,323451.8099589801
7600,323454,0,323478.4,16.69464318878354,323445.01071362244
7700,323454,0,323473.7,16.234736423987677,323441.230527152
7800,323196,0,323443.2,87.8392471132524,323267.52150577353
7900,323196,0,323414.2,115.617953239109,323182.9640935218
8000,323196,0,323385.2,130.95953573562213,323123.28092852875
8100,322714,0,323308.0,243.83601046623465,322820.3279790675
8200,322714,0,323232.2,298.81015898259017,322634.57968203485
8300,322714,0,323156.4,326.1149081741327,322504.17018365173
8400,322498,106,323059.0,364.56640913111613,322329.8671817378
8500,322498,0,322963.4,374.6821467740367,322214.035706452
8600,322498,0,322867.8,357.14852185996284,322153.5029562801
8700,322900,83,322812.4,293.39211532253,322225.615769355
8800,322900,0,322782.8,263.8336176037337,322255.13276479254
8900,322900,0,322753.2,226.2529557820151,322300.69408843596
9000,322917,290,322725.3,177.5412628098163,322370.21747438033
9100,322917,0,322745.6,187.43544073772867,322370.7291185245
9200,322917,0,322765.9,194.49275907712706,322376.91448184574
9300,323409,208,322835.4,279.4892961577719,322276.42140768445
9400,323409,0,322926.5,304.6335685889051,322317.2328628222
9500,323409,0,323017.6,298.4062108381237,322420.78757832374
9600,323599,68,323127.7,288.33585740723737,322551.0282851855
9700,323599,0,323197.6,310.8508752871286,322575.8982494257
9800,323599,0,323267.5,315.05740217740316,322637.3851956452
9900,323352,86,323312.7,287.7120667150417,322737.27586656995
10000,323352,0,323356.2,251.8923050302264,322852.41538993956
10100,323352,0,323399.7,199.79047358030016,323000.1190528394
10200,323463,88,323454.3,105.64200553492259,323243.0159889301
10300,323463,0,323459.7,104.44248816186166,323250.81502367626
10400,323463,0,323465.1,102.91468959016791,323259.27062081965
10500,323516,75,323475.8,101.99215656169926,323271.8156868766
10600,323516,0,323467.5,93.90923513984914,323279.6815297203
10700,323516,0,323459.2,84.15699614475253,323290.88600771053
10800,323555,69,323454.8,76.8704537958211,323301.05909240834
10900,323555,0,323475.1,73.43394613222924,323328.23210773553
11000,323555,0,323495.4,62.930649661125116,323369.53870067775
11100,323493,81,323509.5,38.146646861438114,323433.2067062771
11200,323493,0,323512.5,35.14493799640663,323442.2101240072
11300,323493,0,323515.5,31.54626232648278,323452.40747534705
11400,323445,57,323513.7,35.17906574614037,323443.34186850773
11500,323445,0,323506.6,41.29621989822286,323424.00756020355
11600,323445,0,323499.5,45.40007342253976,323408.69985315495
11700,323245,0,323472.4,91.71477525517979,323288.97044948966
11800,323245,0,323441.4,111.04673690789987,323219.3065261842
11900,323245,0,323410.4,118.8090905617957,323172.78181887645
12000,323064,24,323361.3,149.82067058141365,323061.65865883714
12100,323064,0,323318.4,168.2109786353832,322981.97804272926
12200,323064,0,323275.5,173.36041455154123,322928.7791708969
12300,322820,76,323208.2,206.92607375619886,322794.34785248764
12400,322820,0,323145.7,221.34139041598138,322703.0172191681
12500,322820,0,323083.2,215.60395791090755,322651.9920841782
12600,322704,88,323009.1,204.4914831157125,322600.11703376856
12700,322704,0,322955.0,206.69892221454057,322541.60215557093
12800,322704,0,322900.9,192.68653300171096,322515.5269339966
12900,322655,94,322841.9,163.7765754523657,322514.3468490953
13000,322655,0,322801.0,152.85432425906345,322495.29135148186
13100,322655,0,322760.1,127.23508426108577,322505.6298314778
13200,322663,45,322720.0,72.02777242333146,322575.9444551533
13300,322663,0,322704.3,64.52914931549608,322575.241701369
13400,322663,0,322688.6,50.914307094768496,322586.77138581045
13500,322608,27,322667.4,29.937713121492443,322607.524573757
13600,322608,0,322657.8,32.2035194807457,322593.3929610385
13700,322608,0,322648.2,31.194016524788122,322585.8119669504
13800,322571,58,322634.9,33.05702144708266,322568.78595710587
13900,322571,0,322626.5,37.724881271589055,322551.0502374568
14000,322571,0,322618.1,39.959562897474605,322538.180874205
14100,322558,79,322608.4,41.740467977242865,322524.91906404553
14200,322558,0,322597.9,39.63289879584144,322518.6342024083
14300,322558,0,322587.4,33.974500245972465,322519.4509995081
14400,322506,0,322571.7,31.329964362680535,322509.0400712747
14500,322506,0,322561.5,34.62898593619142,322492.2420281276
14600,322506,0,322551.3,34.432058709435296,322482.4358825811
14700,322463,20,322536.8,38.22390177587185,322460.35219644825
14800,322463,0,322526.0,42.50490168171921,322440.9901966366
14900,322463,0,322515.2,43.50938596410819,322428.1812280718
15000,322229,0,322481.0,96.688503282349,322287.6229934353
15100,322229,0,322448.1,120.59523668631635,322206.90952662734
15200,322229,0,322415.2,131.65257308659392,322151.89485382685
15300,322020,36,322361.4,170.8925588403065,322019.6148823194
15400,322020,0,322312.8,192.8913338307028,321927.0173323386
15500,322020,0,322264.2,199.90264297150412,321864.394714057
15600,321919,67,322205.5,207.06641446728665,321791.3671710654
15700,321919,0,322151.1,203.32538235905244,321744.44923528185
15800,321919,0,322096.7,182.28978761032133,321732.12042477936
15900,321889,58,322039.3,139.47604334442548,321760.34791331115
16000,321889,0,322005.3,129.15369827506748,321746.99260344985
16100,321889,0,321971.3,106.48427114062149,321758.33145771874
16200,321768,170,321925.2,78.6833315703908,321767.83333685924
16300,321768,0,321900.0,85.04508608388882,321729.90982783225
16400,321768,0,321874.8,82.84362779970502,321709.11274440057
16500,321854,160,321858.2,65.28705844460595,321727.6258831108
16600,321854,0,321851.7,61.698280187758634,321728.3034396245
16700,321854,0,321845.2,57.07071637027223,321731.05856725946
16800,322022,160,321855.5,77.50591375511974,321700.48817248974
16900,322022,0,321868.8,93.62786859758782,321681.5442628048
17000,322022,0,321882.1,105.5087674098669,321671.08246518025
17100,322159,118,321909.1,137.2446720290059,321634.61065594194
17200,322159,0,321948.2,147.865404263902,321652.4691914722
